Date,AAPL,GOOG,MSFT,GS,INTC,MS,BAC,C
2009-01-02,11.621618,159.621811,16.140903,77.18557,11.336502000000001,14.967666,13.347557,69.102325
2009-01-05,12.112095,162.965073,16.291746,78.982674,11.120214,15.522675,13.021554,68.521614
2009-01-06,11.912321,165.95065300000002,16.482298,78.92041,11.463295,17.249369,13.300982999999999,72.199341
2009-01-07,11.654917,159.964584,15.489867000000002,75.17495699999999,10.769680000000001,15.945538,12.770061,69.199097
2009-01-08,11.871339,161.54431200000002,15.974172,75.984566,10.851721000000001,16.579836,12.611717,69.29588299999999
2009-01-09,11.599847,156.517014,15.497801999999998,74.65898100000001,10.553392,16.791262,12.099426,65.327835
2009-01-12,11.353971000000001,155.334702,15.458109,69.09871700000001,10.284894,16.553404,10.646379,54.197891000000006
2009-01-13,11.232311,156.144424,15.735989000000002,69.321106,10.195395,16.615070000000003,9.919853999999999,57.10136
2009-01-14,10.927524,149.512558,15.156405,67.33721899999999,9.755361,15.143857999999998,9.500701,43.842224
2009-01-15,10.677802999999999,148.528961,15.275502,65.68246500000001,9.911984,14.324554999999998,7.749591000000001,37.067493
2009-01-16,10.543339,148.86676,15.648651999999998,64.988564,10.247603999999999,13.734306,6.687749,33.873684000000004
2009-01-20,10.014443,140.46144099999998,14.672101000000001,52.666977,9.591280000000001,11.540693,4.75035,27.098946
2009-01-21,10.607369,150.560745,15.386651,62.186161,9.889608,14.853139,6.222028,35.51897
2009-01-22,11.315552,152.259705,13.584398,63.191456,9.561442999999999,15.487432,5.318531,30.099192
2009-01-23,11.315552,161.300888,13.655854000000001,66.643295,9.785193,16.482935,5.812195,33.583346999999996
2009-01-26,11.47947,160.88858000000002,13.997245999999999,66.011635,9.979108,16.808887,5.588649,32.228394
2009-01-27,11.619056,164.668991,14.021067000000002,69.623611,10.299809,17.434376,6.05437,34.357597
2009-01-28,12.063432,173.20845,14.322764000000001,78.02188100000001,10.448977000000001,20.542557000000002,6.883352,40.745216
2009-01-29,11.90976,170.550735,13.965489999999999,73.59142299999999,9.97165,19.095642,6.315173000000001,37.834839
2009-01-30,11.542222,168.17120400000002,13.57646,71.821045,9.621111,18.068506,6.1288849999999995,34.4394
2009-02-02,11.718946,169.184616,14.156037,74.347603,10.165564,18.577606,5.588649,35.409515
2009-02-03,11.907197,169.125,14.687979,73.671494,10.240145,18.702658,4.936641000000001,33.566296
2009-02-04,11.980193,170.39176899999998,14.791193,78.262062,10.45866,19.658333,4.377775,33.85733
2009-02-05,12.352853999999999,175.71713300000002,15.116713,82.603531,10.737458,20.712255,4.508175,34.24538
2009-02-06,12.770334,184.44039899999999,15.608954,85.913002,11.099138,20.426441,5.709735,37.931843
2009-02-09,13.127626000000001,188.161194,15.434288,87.08731800000001,11.234774,21.087378,6.417633,38.319897
2009-02-10,12.528299,178.09664899999999,14.926160000000001,80.423889,10.609363,18.568684,5.178816,32.499153
2009-02-11,12.398954,177.863174,15.251676999999999,84.258255,10.609363,20.462164,5.65385,35.797573
2009-02-12,12.712705999999999,180.35199,15.291378,85.032265,10.549081,20.533621,5.467562,35.021473
2009-02-13,12.698623,177.684341,15.156405,85.806252,10.45866,20.480032,5.188129,33.85733
2009-02-17,12.105692999999999,170.22287,14.460941,76.25145699999999,9.953812,17.648733,4.564063,29.685795000000002
2009-02-18,12.085203,175.41409299999998,14.484921,75.17495699999999,10.066839,18.023857,4.256688,28.230602
2009-02-19,11.607531,170.212936,14.317051999999999,76.518341,9.554454,17.800564,3.660565,24.350107
2009-02-20,11.679247,172.10562099999999,14.388995999999999,75.665894,9.629805000000001,17.353991,3.530163,18.917419
2009-02-23,11.134986,163.96357700000002,13.757479,71.622765,9.102352,16.809164000000003,3.641936,20.760653
2009-02-24,11.557591,171.608856,13.7255,83.170753,9.592131,19.711920000000003,4.405719,25.223225
2009-02-25,11.674125,169.716156,13.557635000000001,80.433578,9.818182,19.43504,4.806237,24.447123
2009-02-26,11.421844,167.500565,13.125959,82.428314,9.577060000000001,19.050987,4.955268,23.865053
2009-02-27,11.437211,167.902954,12.910125,81.471199,9.599667,17.45224,3.6791940000000003,14.551860999999999
2009-03-02,11.261766999999999,162.522949,12.622346,77.168655,9.275659,16.032122,3.381133,11.641489
2009-03-03,11.316833,161.68837,12.694289999999999,73.680099,9.253051,16.237551,3.3997610000000003,11.835512
2009-03-04,11.675406,158.429565,12.886147,76.453049,9.614733,17.327196,3.3530620000000004,10.962402
2009-03-05,11.377021000000001,151.832474,12.206665,73.098679,9.275659,16.058918,2.9607810000000003,9.895263
2009-03-06,10.923683,153.28801,12.214655,67.669037,9.351008,15.3444,2.932761,9.992279
2009-03-09,10.643225,144.50512700000002,12.110738000000001,66.148384,9.4565,14.719184,3.502502,10.186304
2009-03-10,11.350128,153.089294,13.173923,76.283096,10.488800999999999,18.613335,4.473863,14.066798
2009-03-11,11.868780000000001,157.927826,13.677542,82.64302099999999,10.518943,20.104908,4.604622,14.939907999999999
2009-03-12,12.338767,160.719681,13.597601000000001,86.99026500000001,10.940906,21.596478,5.463902,16.201069
2009-03-13,12.284981,161.16180400000002,13.309825,88.376778,11.076536,22.712917,5.379842,17.268206
2009-03-16,12.219669,158.812088,12.990067,83.99369,10.737458,20.578279000000002,5.772121,22.603888
2009-03-17,12.762652000000001,166.586517,13.509665,88.54673000000001,11.227238,21.266006,5.856180999999999,24.350107
2009-03-18,13.000848,165.473755,13.557635000000001,94.146294,11.483431,21.605404,7.163784,29.879815999999998
