Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT
2009-01-02,69.907677,12.922787,13.908728,30.000746000000003,16.574270000000002,10.81596,8.829226
2009-01-05,69.467598,12.777762,14.031741,29.514909999999997,16.286179999999998,10.775350999999999,8.829226
2009-01-06,71.39591999999999,13.253105999999999,14.589402,30.081723999999998,16.556271,10.971633,9.582232000000001
2009-01-07,70.243721,12.552178999999999,14.203961999999999,28.786134999999998,15.890057999999998,10.599371000000001,8.7713
2009-01-08,69.755669,12.310483,14.384381,28.567513,15.863053,10.403084,8.887151
2009-01-09,67.77131700000001,12.052669999999999,13.695506,28.340791999999997,15.628975,10.294789999999999,8.58098
2009-01-12,68.579468,11.867367999999999,13.449478,28.227427000000002,15.349885999999998,9.983442,8.27481
2009-01-13,68.28340899999999,11.955993,13.490483,28.454151,15.430918,9.685630999999999,8.432035
2009-01-14,66.563133,11.359802,12.908217,27.336717999999998,14.728691,9.13062,8.051391
2009-01-15,67.307243,11.714293,12.965626,28.178841,14.881738,9.509654,8.026567
2009-01-16,67.947342,12.101011999999999,12.973825,29.166721000000003,15.223848,9.482578,8.423759
2009-01-20,65.594948,11.609561,12.309553,27.644415000000002,14.494617000000002,8.758356,7.778325
2009-01-21,73.148232,11.730411,12.875416,29.045258,15.205836999999999,9.279525999999999,7.794872
2009-01-22,72.068016,11.569276,12.604786,29.19912,14.989773000000001,8.325175999999999,7.571453
2009-01-23,71.603966,12.076838,13.031232000000001,29.612074,15.106816,8.257492,8.034844999999999
2009-01-26,73.292236,11.899596,13.36747,29.620172999999998,15.268863,8.054439,8.134139
2009-01-27,73.34025600000001,12.334655,13.72011,28.850912,15.556951000000002,8.501156,8.341011
2009-01-28,75.86868299999999,12.626791,13.84312,29.814503000000002,16.061111,8.785430999999999,8.589255999999999
2009-01-29,74.02035500000001,12.131783,13.064034,28.446058,15.836047,8.277797,7.943822
2009-01-30,73.332237,12.131783,12.276750999999999,27.9764,15.151825,8.304871,7.7535
2009-02-02,72.756165,12.732284,12.555579,28.575613,15.214846,8.142427,7.786599000000001
2009-02-03,74.796494,13.000076,12.80981,27.709197999999997,15.349885999999998,8.480848,7.927267999999999
2009-02-04,74.276436,13.349015,12.990228,27.393394,15.493932999999998,8.609449,8.134139
2009-02-05,73.940353,13.665495000000002,13.408475,28.373177000000002,15.863053,8.83281,8.46513
2009-02-06,77.34333000000001,14.103704,13.974337,29.409636,16.178148,9.022325,8.647177000000001
2009-02-09,77.890396,14.038782000000001,13.818520999999999,29.676855,16.250175,8.947872,8.440307
2009-02-10,75.034447,13.40582,13.162446,28.356984999999998,15.827039000000001,8.487617,8.065738
2009-02-11,76.554955,13.170487,13.260857000000001,28.024991999999997,16.025098999999997,8.399628,8.132328
2009-02-12,76.482552,13.300327,13.285460999999998,28.778049,15.800029,8.419934,7.8409960000000005
2009-02-13,75.493011,13.754764000000002,13.203451000000001,28.891407,15.953073999999999,8.162734,7.91591
2009-02-17,72.942787,12.797203,12.539177,28.114065000000004,15.268863,7.533268,7.166771000000001
2009-02-18,73.618561,12.862121,12.604786,27.790174,15.520942000000002,7.465584,7.150124000000001
2009-02-19,71.542992,12.139894,12.334157000000001,27.401493,15.151825,7.2016160000000005,6.942029
2009-02-20,71.430374,12.204814,12.366958,27.587732,14.908745999999999,7.005331,7.291627
2009-02-23,67.874512,11.920794,11.776492,26.543166999999997,14.278545000000001,6.781973,6.966999
2009-02-24,69.507637,12.407688,12.293152000000001,27.927821999999995,14.800715,6.869961999999999,7.2749809999999995
2009-02-25,69.10539200000001,12.464492,12.112732000000001,27.602413000000002,14.620652,6.7007509999999995,7.8659669999999995
2009-02-26,71.575172,11.880219,11.883106,27.382771999999996,14.206524,6.443551,8.190597
2009-02-27,74.036919,11.644886,11.948711,27.195663,13.990453,6.335255,7.666198
2009-03-02,71.639534,11.174223,11.743692,26.675022,13.684356,5.915612,7.366542
2009-03-03,70.609779,11.523161,11.801095,27.211928999999998,13.513303,6.247266000000001,7.366542
2009-03-04,71.9935,12.050632,12.506374000000001,28.261358,13.468288000000001,6.389404,7.741110000000001
2009-03-05,70.376488,12.091208,11.932313,28.171881,13.081164,6.166044,7.524692999999999
2009-03-06,69.033005,11.937021000000001,11.628881,27.358365999999997,13.027146,5.915612,7.241687
2009-03-09,67.158546,11.920794,11.169630999999999,26.845856,12.468969,5.92915,7.1418
2009-03-10,70.19145999999999,12.707942999999998,12.006122,28.765743,13.585327,6.572151,7.674523
2009-03-11,71.293602,12.748513,12.317756,28.757593,13.810398000000001,6.917342,7.990824000000001
2009-03-12,72.72558599999999,12.935159,12.719598,29.929058,14.071479,7.472353,8.440308
2009-03-13,72.69339000000001,13.154259,12.719598,29.896524,14.008457,7.3843630000000005,8.814879
2009-03-16,73.385254,12.748513,12.670394,29.156227,13.414268,7.682175,8.681697
2009-03-17,74.744843,13.349015,13.236254,30.352095000000002,13.864413,7.770164,8.906441000000001
2009-03-18,73.972542,13.697954999999999,13.53149,30.872744,14.251534,8.013828,9.031297
2009-03-19,74.543724,13.470741,13.310064,30.620542999999998,15.637984,8.142427,8.906441000000001
2009-03-20,74.42306500000001,12.805316,13.047633,30.148701000000003,15.394903,7.519731,8.498574000000001
2009-03-23,79.41085799999999,13.803448999999999,13.925129,31.580485999999997,16.430231,8.013828,9.206097999999999
2009-03-24,79.081032,13.511312,13.679104999999998,30.937807,16.124138000000002,8.020597,8.814879
2009-03-25,78.799446,13.332785000000001,13.58889,31.320172999999997,16.286179999999998,8.243955999999999,9.147832000000001
